dispatch t1 t2 t3 t4 t5
100 0.040000 0.150000 0.150000 0.290000 0.370000
200 0.045000 0.160000 0.185000 0.270000 0.340000
300 0.056667 0.146667 0.200000 0.270000 0.326667
400 0.047500 0.142500 0.205000 0.275000 0.330000
500 0.054000 0.140000 0.194000 0.292000 0.320000
600 0.065000 0.133333 0.191667 0.285000 0.325000
700 0.061429 0.131429 0.207143 0.282857 0.317143
800 0.060000 0.127500 0.210000 0.281250 0.321250
900 0.057778 0.131111 0.206667 0.276667 0.327778
1000 0.059000 0.127000 0.205000 0.278000 0.331000
1100 0.058182 0.134545 0.201818 0.270000 0.335455
1200 0.058333 0.130833 0.202500 0.268333 0.340000
1300 0.058462 0.130000 0.205385 0.266923 0.339231
1400 0.060714 0.129286 0.204286 0.267857 0.337857
1500 0.060000 0.129333 0.202667 0.267333 0.340667
1600 0.062500 0.126250 0.205000 0.266875 0.339375
1700 0.062941 0.129412 0.198235 0.267647 0.341765
1800 0.065556 0.130000 0.201111 0.264444 0.338889
1900 0.064737 0.131053 0.200000 0.268947 0.335263
2000 0.064500 0.131500 0.198500 0.270500 0.335000
2100 0.063333 0.133810 0.196190 0.271905 0.334762
2200 0.064091 0.135000 0.192273 0.272273 0.336364
2300 0.062609 0.137391 0.194348 0.272174 0.333478
2400 0.063333 0.137083 0.194583 0.271250 0.333750
2500 0.064400 0.136800 0.192400 0.270800 0.335600
2600 0.064231 0.136923 0.190385 0.273462 0.335000
2700 0.065556 0.135926 0.190000 0.275926 0.332593
2800 0.063214 0.136071 0.190714 0.276786 0.333214
2900 0.064828 0.135172 0.190000 0.276897 0.333103
3000 0.065667 0.135667 0.189667 0.274667 0.334333
3100 0.065161 0.135484 0.191290 0.274839 0.333226
3200 0.065625 0.133750 0.191562 0.272813 0.336250
3300 0.065758 0.133333 0.190000 0.274545 0.336364
3400 0.065588 0.133824 0.187941 0.279118 0.333529
3500 0.066000 0.134286 0.189429 0.278857 0.331429
3600 0.065000 0.133889 0.189722 0.279722 0.331667
3700 0.064595 0.133243 0.191081 0.278919 0.332162
3800 0.064737 0.133421 0.192105 0.278158 0.331579
3900 0.064103 0.133077 0.192308 0.278718 0.331795
4000 0.064500 0.132250 0.191750 0.280250 0.331250
4100 0.064146 0.132439 0.193171 0.278293 0.331951
4200 0.064286 0.131905 0.191429 0.278095 0.334286
4300 0.064884 0.132093 0.190930 0.277209 0.334884
4400 0.065682 0.130455 0.192045 0.277500 0.334318
4500 0.065333 0.131333 0.193111 0.275778 0.334444
4600 0.065435 0.133478 0.192174 0.274565 0.334348
4700 0.064681 0.132340 0.192766 0.275532 0.334681
4800 0.064583 0.131667 0.193333 0.274375 0.336042
4900 0.064898 0.131020 0.192245 0.274694 0.337143
5000 0.063800 0.131800 0.193600 0.273800 0.337000
5100 0.063529 0.132353 0.194118 0.273725 0.336275
5200 0.063846 0.131731 0.193077 0.274808 0.336538
5300 0.064528 0.131132 0.193396 0.274906 0.336038
5400 0.065185 0.130556 0.194074 0.274259 0.335926
5500 0.064909 0.131273 0.194727 0.273636 0.335455
5600 0.065179 0.131429 0.195714 0.272143 0.335536
5700 0.065088 0.131754 0.195439 0.271930 0.335789
5800 0.064828 0.131552 0.196034 0.271897 0.335690
5900 0.065085 0.131695 0.197966 0.271017 0.334237
6000 0.065167 0.131833 0.197333 0.272333 0.333333
6100 0.065246 0.131311 0.197213 0.273607 0.332623
6200 0.064516 0.133226 0.195645 0.273065 0.333548
6300 0.064286 0.133175 0.195556 0.273968 0.333016
6400 0.064219 0.133125 0.195312 0.273750 0.333594
6500 0.063846 0.134000 0.194308 0.275077 0.332769
6600 0.063182 0.133939 0.194242 0.275758 0.332879
6700 0.064328 0.132687 0.195075 0.275373 0.332537
6800 0.064412 0.132059 0.194853 0.275294 0.333382
6900 0.065072 0.132174 0.194203 0.274638 0.333913
7000 0.064714 0.133143 0.194000 0.274857 0.333286
7100 0.064648 0.131972 0.194930 0.275070 0.333380
7200 0.064861 0.132222 0.195000 0.274583 0.333333
7300 0.064795 0.131507 0.195616 0.274521 0.333562
7400 0.064865 0.131757 0.195405 0.274324 0.333649
7500 0.065467 0.131867 0.194667 0.273600 0.334400
7600 0.065526 0.131842 0.194211 0.273158 0.335263
7700 0.065714 0.132597 0.193896 0.272468 0.335325
7800 0.065385 0.132692 0.193718 0.272692 0.335513
7900 0.065696 0.132658 0.193038 0.273038 0.335570
8000 0.065875 0.132125 0.193375 0.273000 0.335625
8100 0.066049 0.131852 0.193457 0.272840 0.335802
8200 0.066220 0.132683 0.192805 0.272683 0.335610
8300 0.066386 0.132410 0.193494 0.273133 0.334578
8400 0.066786 0.132381 0.193452 0.272619 0.334762
