seed,task_1,task_2,task_3,task_4,task_5
1,0.1968,0.1994,0.2031,0.2023,0.1984
2,0.1978,0.2061,0.1972,0.1968,0.2021
3,0.1998,0.1989,0.204,0.202,0.1953
4,0.197,0.2001,0.201,0.2069,0.195
5,0.198,0.2048,0.2008,0.1982,0.1982
6,0.2025,0.1934,0.2013,0.2012,0.2016
7,0.2021,0.1968,0.2028,0.1975,0.2008
8,0.1928,0.2066,0.1951,0.2021,0.2034
9,0.1988,0.2068,0.1987,0.1949,0.2008
10,0.1951,0.1989,0.2034,0.2003,0.2023
11,0.2007,0.2002,0.1998,0.1977,0.2016
12,0.201,0.2063,0.1911,0.2042,0.1974
13,0.1972,0.197,0.2043,0.2053,0.1962
14,0.2057,0.1964,0.1991,0.2012,0.1976
15,0.1972,0.2078,0.1998,0.1978,0.1974
16,0.2035,0.1953,0.194,0.2038,0.2034
17,0.1924,0.2022,0.1992,0.2016,0.2046
18,0.2022,0.1988,0.1967,0.2055,0.1968
19,0.2045,0.1959,0.1974,0.2007,0.2015
20,0.1983,0.2027,0.2015,0.1946,0.2029
21,0.2046,0.2035,0.2022,0.1972,0.1925
22,0.1964,0.2076,0.1941,0.1972,0.2047
23,0.1964,0.1958,0.2077,0.2029,0.1972
24,0.1963,0.2033,0.2011,0.1982,0.2011
25,0.2008,0.2042,0.1998,0.1999,0.1953
26,0.1972,0.196,0.1972,0.2,0.2096
27,0.1976,0.2006,0.2061,0.2005,0.1952
28,0.2037,0.1995,0.1985,0.2042,0.1941
29,0.1965,0.1969,0.2006,0.2031,0.2029
30,0.2062,0.2001,0.1946,0.1961,0.203
